company_name,country,Line_of_business,company_size,date,revenue_type,revenue_stream,currency,fiscal_year,fiscal_quarter,region,payment_method,transaction_amount,transaction_date,transaction_status,Loan_ID,loan_status,Principal_amount,terms,effective_date,due_date,paid_off_time,past_due_days,Loan_flag,product_name,product_category,product_price,quality_category,Import percentage,export percentage
Vasquez Group,Maldives,Technology,Small,1992-07-13,Service Revenue,Online,USD,2022,4,Africa,PayPal,709.15,1989-06-29,Failed,aa0e2954-4c54-4810-ba89-ddd09254afeb,Approved,58408.59,12,1996-07-25,2022-04-12,1982-12-31,4,No,Comic,Books,465.59,High,46.38,38.56
Oliver LLC,Lesotho,Retail,Medium,1999-01-16,Subscription,Offline,USD,2021,3,Africa,Credit Card,6211.42,1970-04-17,Pending,15b54e7f-16e1-4c15-bc17-b7887d5d9aa2,Rejected,63719.44,16,2000-01-01,2007-05-02,1990-06-27,9,No,Headphones,Electronics,506.47,Medium,79.7,94.1
Perry-Hill,Gambia,Manufacturing,Medium,1993-03-03,Subscription,Offline,USD,2023,3,North America,Credit Card,6151.99,2022-02-04,Completed,8982fdd0-46ab-4085-aa68-3b566497a1f5,Rejected,52524.67,16,1981-10-21,1971-03-05,1983-02-25,8,No,Blender,Household Items,473.47,Low,53.34,11.49
Jones Group,Tuvalu,Retail,Large,2002-04-19,Product Sales,Offline,USD,2019,4,Australia,Cash,2358.89,2013-05-06,Pending,cc3be943-cfb4-441f-b27a-e8135c881dcb,Approved,24707.83,14,1977-10-08,1988-06-11,2002-05-31,27,Yes,Tablet,Electronics,447.82,Low,32.86,21.88
Walker-Olson,Saint Barthelemy,Healthcare,Medium,1985-07-07,Service Revenue,Offline,USD,2020,2,Asia,PayPal,3453.33,1991-11-22,Failed,aaa36b02-3df7-4132-82c5-651f4cb2aa32,Rejected,7244.38,2,1975-08-19,1997-01-31,2018-11-04,28,No,Camera,Electronics,546.92,Low,87.93,11.21
"Avila, King and Ingram",Pakistan,Retail,Medium,1999-04-10,Service Revenue,Online,USD,2022,4,Africa,Bank Transfer,4767.88,2022-03-17,Failed,e253695e-120b-4226-8990-adc44fa08b65,Approved,92296.11,28,1977-04-09,1996-01-01,1974-06-26,30,No,Microwave,Household Items,459.28,Low,5.07,69.2
Perry-Hill,Tonga,Technology,Small,1975-12-19,Subscription,Online,USD,2019,4,Europe,Credit Card,4304.91,1997-09-20,Completed,2de3a190-ce6d-42ed-9eb9-69ed6386cdb3,Rejected,33582.4,44,2001-11-19,2022-07-13,1997-12-09,3,Yes,Iron,Household Items,960.7,Medium,48.53,47.21
"Hanson, Estrada and Nguyen",Japan,Retail,Small,1979-01-05,Subscription,Online,USD,2018,2,North America,PayPal,7385.98,1986-12-16,Pending,5a369eaf-e3c8-4f6a-92d0-a5cddde40a30,Approved,62495.79,55,2014-03-05,2021-03-14,1971-08-13,17,Yes,Sofa,Furniture,159.31,Low,52.34,15.33
Marshall-Cameron,Pakistan,Healthcare,Large,1980-11-01,Service Revenue,Online,USD,2018,4,Australia,Credit Card,2572.4,2013-06-16,Completed,09a4fdac-8221-4192-84ba-eefb3b7495ef,Rejected,74548.52,18,1973-05-30,1990-01-20,1983-06-05,10,No,Headphones,Electronics,506.47,Medium,38.65,6.47
Oliver LLC,Saint Barthelemy,Retail,Large,1999-06-12,Product Sales,Online,USD,2018,1,North America,Credit Card,4109.06,1972-01-16,Pending,0f8e539e-6f59-4183-b17d-1a85918ed24f,Approved,43342.59,50,1997-09-13,2019-11-18,2007-02-14,20,Yes,Comic,Books,465.59,Low,40.35,43.35
Marshall-Cameron,Japan,Technology,Medium,1976-04-30,Product Sales,Online,USD,2019,4,North America,PayPal,408.79,2022-05-12,Failed,3ce275d3-3830-4bb5-8ec1-ccdbd5c6b5b4,Pending,34144.84,9,1990-02-25,2006-01-22,2011-09-21,23,Yes,Table,Furniture,673.79,Low,48.93,62.42
Perry-Hill,Tonga,Manufacturing,Medium,2007-07-19,Subscription,Offline,USD,2022,1,Australia,Bank Transfer,8401.17,1984-09-19,Completed,ead7f533-2167-4f3c-9b78-191d456fed85,Pending,23636.79,46,1992-02-02,2009-09-21,2001-07-01,9,Yes,Headphones,Electronics,506.47,High,70.14,36.61
"Avila, King and Ingram",Lesotho,Healthcare,Small,1984-07-29,Service Revenue,Offline,USD,2023,4,Australia,Credit Card,1701.16,1995-11-30,Pending,ec488407-1f96-4af4-b484-03d158b24d83,Approved,1799.25,13,1992-10-16,2000-08-16,2016-06-05,28,No,Pants,Clothing,492.67,Medium,45.16,23.71
Luna-Brewer,South Georgia and the South Sandwich Islands,Retail,Small,1997-02-24,Service Revenue,Offline,USD,2018,4,North America,Bank Transfer,1582.84,1981-01-23,Completed,68d630b5-243d-42d0-b3e8-159608211553,Pending,5768.26,43,1984-05-01,1971-10-22,1986-03-30,27,Yes,Jacket,Clothing,100.32,Medium,75.91,59.64
Taylor Group,Lesotho,Technology,Large,1985-01-23,Service Revenue,Online,USD,2020,2,Asia,Bank Transfer,7316.13,1998-01-30,Failed,47ada57c-83a1-4667-a3b2-2969afc7b33f,Rejected,88185.76,17,2023-08-07,1983-06-19,2007-06-12,21,Yes,Toaster,Household Items,991.8,Low,97.77,59.7
Walker-Olson,Pakistan,Manufacturing,Large,1991-07-17,Product Sales,Online,USD,2022,3,Europe,PayPal,8733.38,2021-01-03,Failed,5558bdff-2ad2-48ba-a3b0-8d325e1d2b6c,Rejected,65988.65,41,2022-06-28,1973-02-10,1994-11-21,7,Yes,Sofa,Furniture,159.31,Medium,81.25,63.17
Perry-Hill,Tonga,Technology,Medium,2002-05-23,Service Revenue,Online,USD,2019,4,Europe,Bank Transfer,174.31,2023-10-31,Pending,da3e12f5-ea35-4563-aded-4bf65bd45321,Approved,40909.89,17,1999-06-03,1976-02-10,2008-05-14,0,No,Chair,Furniture,881.54,Medium,48.83,25.46
Vasquez Group,Japan,Technology,Large,1984-10-17,Service Revenue,Offline,USD,2020,2,Australia,Cash,5530.46,1992-08-07,Pending,0e1ddcb5-383e-4e4f-afc0-e88d13826201,Pending,65366.28,15,2023-08-06,1980-01-25,2020-03-18,23,No,Table,Furniture,673.79,Low,77.88,59.43
Jones Group,Saint Barthelemy,Technology,Large,2023-11-11,Product Sales,Offline,USD,2019,2,Asia,Cash,5807.56,2015-09-08,Pending,281ba462-2e76-41e3-8b27-19e59de64332,Rejected,40734.2,1,2017-04-13,2005-10-18,2016-01-29,13,No,Jacket,Clothing,100.32,Medium,51.33,26.57
Perry-Hill,Gambia,Finance,Small,2017-01-14,Product Sales,Offline,USD,2020,2,Europe,Bank Transfer,6972.98,1973-08-21,Failed,6fe00223-6c60-476a-8600-7b88539cc9aa,Pending,61520.54,16,2023-02-20,1995-09-19,2017-12-21,18,No,Sofa,Furniture,159.31,Low,70.2,81.53
"Hanson, Estrada and Nguyen",Croatia,Technology,Large,2015-05-16,Service Revenue,Offline,USD,2020,1,Australia,PayPal,869.48,1994-06-20,Pending,14a3044f-ff0c-4062-9203-5b21289aafd0,Approved,26282.96,9,2012-07-01,1996-10-21,1986-10-12,13,No,Bed,Furniture,931.86,High,58.1,31.28
Oliver LLC,South Georgia and the South Sandwich Islands,Retail,Small,2020-03-21,Subscription,Offline,USD,2022,4,Asia,Credit Card,7341.89,2007-05-18,Completed,e5b5815f-d8d3-4cde-bb9e-fce43a580063,Rejected,43425.56,23,2005-03-05,2011-10-25,2015-02-18,18,Yes,Shirt,Clothing,359.27,Medium,35.89,54.8
Vasquez Group,Maldives,Manufacturing,Large,1982-12-29,Product Sales,Online,USD,2018,3,Australia,Credit Card,4728.11,1978-06-25,Pending,d544b02b-7232-4edd-bc5a-67974748a01d,Approved,46076.99,52,1980-06-04,2007-04-24,1972-07-17,11,No,Shoes,Clothing,492.37,Low,81.93,60.75
Jones Group,Saint Barthelemy,Technology,Large,1984-06-10,Product Sales,Online,USD,2019,4,Asia,Cash,8083.59,2006-11-16,Failed,d4d6ae17-3a38-43aa-814e-cc9a6f712d50,Rejected,7028.35,32,2011-11-22,2003-04-24,2008-12-16,9,Yes,Textbook,Books,222.95,Low,89.62,53.03
Vasquez Group,Japan,Manufacturing,Medium,1992-06-25,Subscription,Online,USD,2019,2,Africa,Credit Card,5539.6,1986-03-23,Pending,e151c200-049a-42ae-bbb5-c7af6ea5a47f,Pending,52762.24,18,1997-08-13,2008-03-24,2013-05-09,6,Yes,Shoes,Clothing,492.37,Medium,45.75,59.58
Vasquez Group,Croatia,Manufacturing,Medium,1989-02-11,Product Sales,Offline,USD,2023,1,Europe,PayPal,2303.49,1978-05-20,Pending,02abdb0b-53ba-4d23-92fc-a26cab6f41b6,Pending,54990.9,37,2001-07-14,2008-04-29,2018-07-04,4,Yes,Camera,Electronics,546.92,High,17.17,55.1
Perry-Hill,Lesotho,Technology,Medium,2004-03-20,Product Sales,Offline,USD,2020,3,North America,Bank Transfer,5387.91,2022-01-27,Completed,22117719-85bf-48de-8340-6a88053f2562,Rejected,38284.48,16,2010-10-16,2020-11-16,2015-03-10,27,Yes,Bed,Furniture,931.86,Low,62.26,15.17
Jones Group,Tonga,Finance,Medium,2017-03-31,Subscription,Offline,USD,2023,1,North America,Credit Card,7413.01,2010-07-25,Completed,3af720ca-27d6-4867-ad3b-fec1ca52da14,Approved,6051.53,37,1991-03-16,1993-11-24,1990-05-31,6,Yes,Toaster,Household Items,991.8,Medium,11.11,36.62
Luna-Brewer,South Georgia and the South Sandwich Islands,Retail,Large,1974-04-10,Service Revenue,Offline,USD,2022,2,Europe,Cash,5391.89,1995-04-19,Completed,3ca04e30-2a4f-4054-aff4-8c8ac438bff9,Rejected,67127.99,17,2000-10-10,1982-10-10,1990-04-29,27,No,Vacuum,Household Items,197.2,High,42.71,64.98
Luna-Brewer,Saint Barthelemy,Technology,Large,1984-06-25,Subscription,Offline,USD,2021,2,Asia,Credit Card,8639.94,1989-06-08,Failed,d135d06a-0b75-45a7-a3e5-7ef12076bf68,Rejected,30839.37,7,1976-03-27,1986-10-17,2016-06-03,7,No,Bed,Furniture,931.86,Medium,0.3,81.78
"Avila, King and Ingram",Tonga,Technology,Large,2015-05-19,Product Sales,Online,USD,2020,3,Africa,Cash,5026.66,2006-10-18,Failed,638c1a16-bcac-491a-bf5b-2d4886339e54,Rejected,39418.65,60,1974-07-07,1974-02-20,2008-11-19,21,No,Novel,Books,85.64,Low,67.2,1.63
Luna-Brewer,Tuvalu,Retail,Small,2017-07-03,Service Revenue,Offline,USD,2022,2,North America,Credit Card,8402.43,1986-07-10,Pending,41f2958b-4156-49d2-8549-1d02c0fb910d,Rejected,7546.27,13,1995-01-20,1994-04-06,1984-10-31,28,Yes,Laptop,Electronics,13.46,High,26.39,70.39
Marshall-Cameron,Pakistan,Technology,Large,1979-05-15,Product Sales,Offline,USD,2021,1,North America,Cash,9699.44,2008-11-21,Pending,8e95bd0f-09bb-47e8-b959-dc06f1b901dc,Rejected,92268.49,47,1995-05-29,1983-03-29,1975-09-13,3,Yes,Iron,Household Items,960.7,High,62.73,53.33
Oliver LLC,Saint Barthelemy,Retail,Small,2015-03-18,Subscription,Offline,USD,2018,1,Africa,Cash,4050.61,2023-02-04,Pending,7fbdc65d-5eb7-40bb-b088-5320418022a7,Approved,94631.26,8,2021-06-26,1970-12-01,2007-06-07,20,No,Tablet,Electronics,447.82,Medium,1.22,74.65
Luna-Brewer,South Georgia and the South Sandwich Islands,Finance,Large,1998-09-30,Service Revenue,Online,USD,2019,3,Asia,Credit Card,6984.89,1976-09-02,Completed,80effefc-eef3-4212-9357-9e77780dbc8e,Rejected,88136.03,51,1998-08-14,2014-12-14,2021-04-06,15,No,Magazine,Books,626.2,High,71.95,15.67
Oliver LLC,Croatia,Retail,Small,2003-11-21,Subscription,Offline,USD,2019,3,Australia,Cash,564.07,1997-09-15,Pending,2e8779c0-b754-498c-a74d-1e93855366ab,Pending,2116.09,32,2022-02-28,1991-05-26,1971-04-01,15,No,Jacket,Clothing,100.32,Low,52.19,25.32
Taylor Group,Tonga,Manufacturing,Medium,2008-09-05,Product Sales,Offline,USD,2019,4,Asia,Cash,5108.41,1997-07-15,Completed,2dbacf1e-3dfa-4b99-ae76-cc990cbd3c00,Pending,59335.29,31,1989-01-16,2004-07-28,2002-07-19,3,Yes,Pants,Clothing,492.67,Low,17.75,81.14
"Hanson, Estrada and Nguyen",Tonga,Retail,Large,2024-08-22,Subscription,Offline,USD,2019,1,Australia,Bank Transfer,3392.63,1992-12-22,Completed,dbda8724-bd3e-4609-9c0e-94465d0c1ed4,Rejected,5093.09,51,1988-10-09,2018-06-19,1989-05-17,24,No,Headphones,Electronics,506.47,Medium,81.22,21.49
Perry-Hill,Japan,Technology,Medium,2018-01-09,Product Sales,Online,USD,2018,3,Africa,Credit Card,1264.63,2006-01-08,Pending,30aa1b0c-2826-4f71-a5d4-716dde0d4ab6,Approved,46747.52,9,2023-12-04,1993-11-24,2013-06-01,17,Yes,Magazine,Books,626.2,Low,56.1,86.74
"Hanson, Estrada and Nguyen",Saint Barthelemy,Finance,Small,1999-06-06,Subscription,Online,USD,2022,4,Europe,Cash,6911.12,1982-06-15,Failed,5df05e7c-5308-4d85-827b-fe325c0f9e35,Rejected,98613.55,52,2021-04-19,1970-01-09,1997-01-02,25,No,Dress,Clothing,724.96,Low,80.68,2.99
Jones Group,Gambia,Healthcare,Medium,2008-11-14,Service Revenue,Offline,USD,2020,3,Australia,PayPal,7068.05,1975-07-17,Pending,b0f4e23d-06aa-410b-b37a-de511566a3f4,Approved,46661.95,36,1977-08-28,2001-08-08,2015-02-21,17,Yes,Bed,Furniture,931.86,High,64.09,69.65
"Avila, King and Ingram",Lesotho,Finance,Medium,1992-07-21,Service Revenue,Online,USD,2018,4,Africa,Bank Transfer,4533.32,1983-12-01,Pending,e06b675a-a7f2-4f06-a12d-b7cc728e96a1,Approved,10357.04,51,1985-12-09,1993-07-10,1977-02-12,23,No,Dress,Clothing,724.96,Low,27.9,74.91
Oliver LLC,Croatia,Technology,Medium,1991-09-11,Subscription,Online,USD,2021,1,North America,Credit Card,2392.68,2013-04-03,Pending,2d466c26-c1e9-47ba-a4b7-630330ab879c,Rejected,52099.96,10,1990-08-31,1984-01-27,2021-08-28,0,Yes,Bed,Furniture,931.86,Low,66.59,65.96
Walker-Olson,Maldives,Healthcare,Large,1979-04-22,Subscription,Online,USD,2019,1,Europe,Cash,7963.49,1974-03-31,Completed,1b00c23b-0157-42fe-8be7-77b4c8d83f03,Approved,72849.64,44,1974-06-10,1970-10-20,1970-10-19,29,No,Cabinet,Furniture,689.9,Low,54.87,15.7
"Avila, King and Ingram",Gambia,Finance,Small,2005-08-17,Service Revenue,Offline,USD,2019,1,North America,Cash,8678.89,2019-11-19,Failed,69aaf52b-a4d7-4e11-a7a6-72da15dfe66b,Approved,99499.46,28,1997-03-25,1993-01-20,1999-08-04,28,No,Smartphone,Electronics,606.35,Low,98.88,81.85
Oliver LLC,Croatia,Healthcare,Small,2017-01-02,Subscription,Offline,USD,2023,3,Australia,Credit Card,5899.76,2014-01-12,Pending,c9b1c622-2698-451c-84f5-5556dd8d56e5,Approved,11111.49,57,1996-01-09,2022-04-02,2000-10-17,15,No,Table,Furniture,673.79,Medium,72.21,15.32
Walker-Olson,Japan,Healthcare,Large,2013-10-31,Subscription,Online,USD,2018,1,Africa,Cash,7268.07,2007-07-02,Completed,5c97ad91-df28-4189-83eb-8dd7fbdbc2c9,Rejected,33327.13,19,2013-01-05,1996-05-15,2016-03-27,17,Yes,Shirt,Clothing,359.27,Low,59.89,73.24
Vasquez Group,Lesotho,Healthcare,Small,2019-09-04,Service Revenue,Offline,USD,2022,3,Asia,Cash,678.06,2000-10-21,Completed,c5852c9c-8f65-47e6-a2f8-ccfa579ab2df,Pending,97578.05,5,1981-03-09,2009-01-30,1985-03-18,27,No,Laptop,Electronics,13.46,High,94.57,30.61
"Avila, King and Ingram",Maldives,Technology,Large,2004-08-19,Product Sales,Offline,USD,2023,3,Europe,PayPal,370.3,2021-06-19,Failed,65c93c15-3521-41eb-8327-c2f0a06c07ad,Approved,29426.84,44,1998-06-09,1980-09-04,1998-12-18,9,No,Jacket,Clothing,100.32,High,38.05,17.65
Taylor Group,Croatia,Finance,Medium,2021-12-14,Product Sales,Online,USD,2023,3,Asia,PayPal,1637.87,1995-10-17,Failed,25a1c2c0-1f08-4141-be39-6414d415d6e4,Rejected,81536.49,60,1979-11-12,2019-05-06,1988-04-17,2,Yes,Manual,Books,158.13,High,31.23,4.28
Vasquez Group,Tonga,Healthcare,Large,2009-08-12,Subscription,Online,USD,2019,3,North America,Cash,9786.54,2017-11-13,Failed,31d1a72b-887c-463e-8b3d-e2345f2f32ed,Approved,35358.98,15,2007-11-07,1982-06-20,2001-08-08,10,Yes,Microwave,Household Items,459.28,High,31.48,26.04
"Avila, King and Ingram",Lesotho,Manufacturing,Medium,1970-01-31,Product Sales,Offline,USD,2022,4,Australia,PayPal,7046.58,2018-04-02,Failed,ff823fac-8abb-4d5b-aab6-4e6656f368e0,Approved,63770.36,59,1974-02-13,1986-07-28,2002-01-12,26,No,Vacuum,Household Items,197.2,High,4.87,98.4
"Avila, King and Ingram",Saint Barthelemy,Healthcare,Small,1998-06-15,Subscription,Online,USD,2019,1,Asia,Bank Transfer,8517.43,2016-06-27,Completed,cd7883d4-a5d7-4f31-bc0b-f53db06e4c65,Pending,56366.91,40,2005-10-25,2006-08-14,2016-12-22,29,Yes,Manual,Books,158.13,Low,69.96,81.18
"Avila, King and Ingram",Lesotho,Retail,Medium,1970-12-07,Product Sales,Online,USD,2023,2,Australia,Credit Card,6203.44,1976-12-26,Pending,97745e19-b2cd-407b-8e2f-67a860e5ad0c,Pending,96201.81,37,1984-06-10,1991-06-09,2018-09-21,21,Yes,Smartphone,Electronics,606.35,High,75.23,23.18
"Hanson, Estrada and Nguyen",Maldives,Healthcare,Large,2013-04-26,Service Revenue,Offline,USD,2019,1,North America,Bank Transfer,8026.3,1984-07-26,Failed,1a610bcd-ccb0-4a7d-9483-147e3bcefe10,Pending,37649.97,13,2011-11-14,1991-01-17,1975-04-20,23,No,Chair,Furniture,881.54,High,17.45,49.58
Jones Group,Gambia,Technology,Medium,2005-05-24,Service Revenue,Online,USD,2021,2,North America,Cash,7658.8,2003-09-09,Pending,29c47b6c-6497-418d-b6c3-2941d5711196,Pending,79486.78,49,2010-07-06,2009-11-10,2018-03-30,12,No,Shirt,Clothing,359.27,Low,42.29,89.23
Walker-Olson,Maldives,Finance,Large,1984-11-24,Service Revenue,Offline,USD,2023,3,Australia,PayPal,654.64,2007-08-29,Completed,163e48d1-b45a-4776-89dd-00c948cd1d87,Pending,35806.31,3,2001-03-23,1985-07-31,1991-08-31,16,No,Microwave,Household Items,459.28,High,17.21,84.66
Walker-Olson,Gambia,Technology,Medium,1992-02-08,Product Sales,Offline,USD,2018,2,Africa,Bank Transfer,107.91,1976-08-28,Pending,2b12cc54-d5fc-44ef-b1a0-e3e35f1d4437,Approved,86521.05,37,1998-08-14,2013-08-14,2017-01-12,19,Yes,Manual,Books,158.13,Medium,0.03,38.91
"Avila, King and Ingram",Saint Barthelemy,Retail,Medium,2004-09-10,Service Revenue,Offline,USD,2020,4,Europe,Cash,1157.77,1993-08-22,Completed,9a9a303d-30a4-4c66-af2e-c1a31d3b4489,Rejected,15007.61,32,1990-07-03,1983-04-02,1994-08-27,10,Yes,Tablet,Electronics,447.82,High,25.37,39.07
Walker-Olson,Saint Barthelemy,Retail,Large,1993-06-12,Subscription,Online,USD,2022,1,Asia,Bank Transfer,6565.84,2022-04-21,Failed,07c26997-19c0-4372-8039-0d6ef991cc5a,Pending,10085.77,46,1992-01-01,1994-01-07,1982-07-04,20,Yes,Manual,Books,158.13,Medium,71.28,4.81
Marshall-Cameron,Japan,Finance,Small,1978-08-05,Service Revenue,Offline,USD,2018,4,Europe,Bank Transfer,2749.38,2011-05-02,Pending,45f87cfe-7e1c-42e2-8de6-8f25d56188e7,Approved,51472.75,32,1976-06-27,1979-08-13,2017-06-11,23,No,Vacuum,Household Items,197.2,Low,53.14,92.8
Oliver LLC,Saint Barthelemy,Healthcare,Medium,1997-03-15,Service Revenue,Online,USD,2021,4,Europe,Cash,2020.89,1982-06-02,Completed,9280e945-ef29-4e69-8fcd-1cf7faf5d6b9,Rejected,6977.94,37,2010-01-29,2016-11-12,2014-03-13,1,No,Vacuum,Household Items,197.2,High,40.05,91.01
"Avila, King and Ingram",Gambia,Finance,Medium,1994-12-01,Product Sales,Online,USD,2021,4,North America,Bank Transfer,1259.14,1974-08-07,Failed,81c5e27c-62c4-40d9-b7d5-0054d03ea5ed,Rejected,47902.24,17,1998-02-13,1971-06-11,1973-08-13,14,No,Pants,Clothing,492.67,Medium,19.84,45.09
Marshall-Cameron,Croatia,Retail,Small,1995-08-15,Subscription,Offline,USD,2020,2,Australia,PayPal,3871.54,2008-06-01,Pending,9e05791d-cd3d-4996-ab95-6c0880fe27fb,Rejected,81546.86,37,2016-10-17,1975-07-13,1991-11-27,15,No,Bed,Furniture,931.86,High,43.6,37.96
Taylor Group,South Georgia and the South Sandwich Islands,Manufacturing,Large,2016-12-30,Subscription,Offline,USD,2020,2,Asia,Cash,8001.51,1977-02-22,Completed,42a7dcfd-12db-4820-b67a-be959ba39a19,Pending,50841.8,15,2022-01-24,2024-09-08,1974-10-08,21,Yes,Bed,Furniture,931.86,High,42.0,33.99
Luna-Brewer,Tuvalu,Retail,Large,2016-01-25,Product Sales,Offline,USD,2021,3,Australia,Cash,130.3,2021-03-23,Pending,1fd7f7be-8c4c-4bb6-aaab-22d69c4c346e,Pending,42650.8,35,1976-07-08,1994-03-22,2018-07-29,27,Yes,Pants,Clothing,492.67,High,10.68,48.22
Oliver LLC,Maldives,Manufacturing,Medium,2022-09-22,Subscription,Online,USD,2022,4,Australia,PayPal,5384.97,1971-03-28,Failed,5b9932c7-9870-43ba-82d3-d4657b2727dd,Approved,40084.35,10,2002-01-05,2001-03-06,1999-03-30,29,No,Blender,Household Items,473.47,Medium,21.62,28.08
Walker-Olson,Gambia,Retail,Large,1974-06-01,Product Sales,Offline,USD,2020,4,North America,Cash,3070.64,2011-11-17,Pending,5e2eb442-28ac-4d0f-ad7f-45976ea179b8,Pending,38041.58,36,1998-01-23,2011-03-23,1989-09-29,9,Yes,Smartphone,Electronics,606.35,High,29.39,40.47
Luna-Brewer,Lesotho,Technology,Small,2002-05-21,Service Revenue,Offline,USD,2018,4,North America,Bank Transfer,5696.83,1976-11-30,Failed,38b73a42-5a60-47a6-9dd4-d17642458830,Approved,28185.53,48,1987-08-10,2021-06-10,2007-03-01,14,No,Dress,Clothing,724.96,High,68.56,48.4
Vasquez Group,Croatia,Manufacturing,Medium,1983-01-12,Subscription,Online,USD,2022,4,Asia,Cash,8140.91,1973-04-15,Pending,fa3cadd5-78ca-4dc2-8c7d-55a07be41c34,Approved,66868.07,40,1974-05-22,1972-01-17,2021-06-27,17,No,Toaster,Household Items,991.8,Low,59.94,42.85
"Hanson, Estrada and Nguyen",South Georgia and the South Sandwich Islands,Finance,Small,1973-09-28,Subscription,Offline,USD,2021,2,Africa,Bank Transfer,8548.29,1979-10-29,Completed,c1af0153-3c83-421f-8107-7488b7fbf4ef,Approved,59105.03,50,1995-06-30,1998-01-15,1999-11-11,28,No,Magazine,Books,626.2,High,0.28,4.64
Taylor Group,Tonga,Healthcare,Medium,1988-01-27,Service Revenue,Offline,USD,2023,4,Europe,Credit Card,4644.18,1980-05-04,Completed,e0489c8e-ec68-4f62-8e03-707c3d293e5f,Pending,84682.89,21,1974-06-29,1987-03-09,1999-04-21,1,Yes,Chair,Furniture,881.54,Low,66.54,16.03
Taylor Group,Tonga,Finance,Large,2012-12-01,Service Revenue,Online,USD,2022,1,Asia,Credit Card,5867.26,2018-01-10,Completed,df0aca50-d1ec-4c0b-8c35-6b67db0ead37,Rejected,12523.13,25,1984-12-26,1984-09-10,2006-08-09,8,Yes,Textbook,Books,222.95,High,4.4,3.42
Perry-Hill,Tonga,Technology,Large,2004-05-25,Service Revenue,Offline,USD,2019,4,North America,Cash,3295.14,1974-08-06,Pending,2d88e98e-f2ec-40c4-9493-1f547bf69f1b,Pending,3662.78,7,2014-10-01,1971-09-27,1998-01-27,15,Yes,Jacket,Clothing,100.32,Low,72.32,0.25
Vasquez Group,Maldives,Technology,Small,2003-09-16,Subscription,Offline,USD,2019,2,North America,PayPal,3796.06,2001-11-26,Pending,c70ffb72-b20d-44bc-a32f-ec1804361c44,Pending,39531.13,49,2016-10-01,1990-09-06,1976-09-24,16,Yes,Cabinet,Furniture,689.9,High,56.41,39.53
"Avila, King and Ingram",Tonga,Technology,Large,1972-03-04,Service Revenue,Online,USD,2023,1,Europe,Bank Transfer,920.02,2002-07-02,Pending,f78402f1-871e-488e-9c43-ff0ef221981c,Pending,94528.16,19,1997-04-18,2017-04-14,2002-05-09,25,No,Camera,Electronics,546.92,High,1.01,69.91
Jones Group,Tonga,Retail,Medium,1996-03-27,Service Revenue,Offline,USD,2019,4,Australia,PayPal,8209.05,2022-03-11,Failed,c6295be8-4242-4f98-b674-93e8ae25b129,Approved,6805.85,12,1979-06-01,1974-04-12,1978-11-13,5,No,Textbook,Books,222.95,Medium,15.31,47.21
Oliver LLC,South Georgia and the South Sandwich Islands,Manufacturing,Small,2016-07-30,Service Revenue,Online,USD,2022,2,Europe,Bank Transfer,4439.05,2001-05-13,Pending,7ea235df-e0ed-49be-997e-24ab4d7e11dd,Rejected,52071.83,58,2018-05-12,1998-03-02,1974-01-01,10,No,Smartphone,Electronics,606.35,Medium,95.75,51.89
Vasquez Group,Gambia,Healthcare,Small,2011-07-26,Subscription,Offline,USD,2021,3,Africa,Cash,9809.11,2017-01-01,Pending,854a06c6-dd64-428f-b37a-27fe67189e5f,Pending,17167.63,44,2021-02-05,2007-07-05,1971-06-23,18,Yes,Microwave,Household Items,459.28,Low,53.21,99.15
Vasquez Group,Croatia,Manufacturing,Large,2008-05-05,Subscription,Online,USD,2022,4,Asia,Cash,6188.98,2018-11-09,Pending,723291f5-91f3-4185-adf8-617374a713c7,Rejected,96529.59,59,1991-05-23,2012-10-16,1974-02-16,5,No,Shoes,Clothing,492.37,High,8.49,36.28
Taylor Group,Lesotho,Manufacturing,Large,1986-04-07,Service Revenue,Offline,USD,2023,1,Africa,Cash,6191.42,1978-07-06,Failed,4820f05a-86a5-4a43-a9a3-ca58ed040efd,Pending,40748.65,8,1978-07-20,2003-07-13,2005-06-13,6,No,Novel,Books,85.64,Low,29.15,4.44
Walker-Olson,Saint Barthelemy,Finance,Medium,2003-11-04,Product Sales,Online,USD,2023,3,Europe,Bank Transfer,7132.51,1971-02-13,Pending,b9dc0e42-da2e-47d1-9eb2-574bd2ef2970,Approved,67070.11,13,2012-08-05,2024-08-26,1978-01-13,22,Yes,Blender,Household Items,473.47,Low,16.73,73.57
"Hanson, Estrada and Nguyen",Gambia,Finance,Large,1985-05-29,Subscription,Online,USD,2022,2,Australia,PayPal,6397.12,2009-02-06,Completed,534aacbd-d962-4edc-bcec-a8debd0755cc,Pending,11419.15,19,2011-08-17,1970-05-31,1978-10-05,14,Yes,Textbook,Books,222.95,Medium,12.42,26.12
Oliver LLC,Pakistan,Technology,Medium,1976-11-25,Product Sales,Online,USD,2021,3,Australia,Bank Transfer,4320.96,2010-12-06,Pending,0debe898-a8d5-4b04-8c7b-4a1f79df634b,Approved,84596.8,21,2002-07-22,1981-08-19,2009-03-30,14,No,Cabinet,Furniture,689.9,Medium,3.1,79.14
